Unnamed: 0,Month,Year,nDays,DecYear,Q,Conc,GenConc,FNConc,Flux,GenFlux,FNFlux,Date,wy
245,2,2014,28,2014.12237442922,1.78032058383641,0.107190959350647,0.110409034176059,0.100119579118252,16.5018771323167,16.9920999615092,13.6585868477172,2014-02-28,2014
246,3,2014,31,2014.20319634703,2.02118341806363,0.0795197138477148,0.0894508580083333,0.077070293234563,13.8063859615412,15.5222260845653,15.1327845512054,2014-03-31,2014
247,4,2014,30,2014.28675799087,13.7995543513596,0.091655039065501,0.0936056686948422,0.0781915065671446,128.995053439341,130.503079855274,63.2984088809436,2014-04-30,2014
248,5,2014,31,2014.3703196347,30.2268633285775,0.0840521202125447,0.0954618312018502,0.0808216143982607,224.408469162276,255.976700314741,200.140253556379,2014-05-31,2014
249,6,2014,30,2014.45388127854,47.2324997429538,0.0702744405621419,0.0728960479908825,0.0649580635469177,298.617334805511,312.545926373688,206.526054745778,2014-06-30,2014
250,7,2014,31,2014.53744292237,14.7667786579367,0.0520308179739493,0.0410952885765545,0.0529708978461509,67.2605223308503,55.1826433284983,61.1100180031532,2014-07-31,2014
251,8,2014,31,2014.62237442922,4.79833528950523,0.0513188227990491,0.0503823998421763,0.053262771400327,21.1437575107815,20.6326029930475,20.6697051403291,2014-08-31,2014
252,9,2014,30,2014.70593607306,4.67888691498445,0.04981451230555,0.0504237524363794,0.056043938113545,19.9008502198628,20.1100618572671,14.6248736831732,2014-09-30,2014
253,10,2014,31,2014.7894977169,5.05958103342271,0.0531938420404871,0.0511332228110906,0.0607827709323181,23.0364830021862,22.2918397230468,15.8741252928259,2014-10-31,2015
254,11,2014,30,2014.87305936073,3.13165442939992,0.0729065102447607,0.0656158821368698,0.0758922582317118,19.5447039989881,17.478244564674,15.8159208507319,2014-11-30,2015
255,12,2014,31,2014.95662100457,2.3956052027901,0.0962251129987066,0.0941491173697869,0.0945017850472379,19.8515920342134,19.4306549238997,15.0269734869858,2014-12-31,2015
256,1,2015,31,2015.04155251142,1.9970684263174,0.116758717598614,0.103126517392255,0.109246942464312,20.1560089992126,17.8662321295296,15.7988543713127,2015-01-31,2015
257,2,2015,28,2015.12237442922,1.99310145797819,0.116173642063578,0.108732495322881,0.100235771565848,20.0465464610151,18.7776450447064,13.6969215719214,2015-02-28,2015
258,3,2015,31,2015.20319634703,3.66812774073218,0.0987263480551253,0.0914392577934334,0.0791430131517873,32.7652809860096,29.7441535225246,15.6198766000657,2015-03-31,2015
259,4,2015,30,2015.28675799087,8.70271078397351,0.0902196226432572,0.0755482499413541,0.0816282706411723,68.7872753334457,57.4812994636564,65.347716585191,2015-04-30,2015
260,5,2015,31,2015.3703196347,15.244511259576,0.0732535729559049,0.0722840499185567,0.0824370519751442,96.4782472119158,95.1157274287994,202.227570105708,2015-05-31,2015
261,6,2015,30,2015.45388127854,41.0669783936138,0.0678108791109193,0.0661717419299144,0.0657309561307612,245.076414520661,240.482813256696,207.205733531142,2015-06-30,2015
262,7,2015,31,2015.53744292237,12.2995592372336,0.0538764101153639,0.0400457037023799,0.0547028871880261,57.3572359215713,42.2410908492737,62.2855236193074,2015-07-31,2015
263,8,2015,31,2015.62237442922,4.39367842043026,0.0536611046418209,0.05348842640004,0.0547326317025604,20.2858640284998,20.1335225213334,21.2678433119891,2015-08-31,2015
264,9,2015,30,2015.70593607306,3.61898735540486,0.0537249764137303,0.0514711158057967,0.0570379945698319,16.5715628811492,15.9435941280241,14.8784370950862,2015-09-30,2015
265,10,2015,31,2015.7894977169,2.33677923807582,0.065151369076632,0.0609639671206451,0.061560651471847,13.1176501966798,12.2618259212678,16.0625743765641,2015-10-31,2016
266,11,2015,30,2015.87305936073,2.28092197499696,0.076587911992293,0.107020097536185,0.0757964407895562,15.0958229275952,21.1575744680132,15.7975332722684,2015-11-30,2016
267,12,2015,31,2015.95662100457,1.90060845933248,0.092914759915721,0.101348968772021,0.0930404091696851,15.2053582031055,16.6542975284371,14.8000536112296,2015-12-31,2016
268,1,2016,31,2016.04143897996,1.55724386094584,0.104941509909055,0.104987153198381,0.106845342892471,14.136234191668,14.1576112439331,15.4464646789171,2016-01-31,2016
269,2,2016,29,2016.12340619308,1.54883385206883,0.0986826201358645,0.129951806921132,0.0988126108335568,13.194031851997,17.5254041718658,13.4905319030436,2016-02-29,2016
270,3,2016,31,2016.20537340619,2.10567723384113,0.0844258780317494,0.098465729366642,0.0797142127442678,15.394778127491,17.894132362588,15.7705890239592,2016-03-31,2016
271,4,2016,30,2016.28870673953,7.3391602418338,0.0841991168605839,0.0849197447121261,0.0839460860384584,55.7788906567744,55.5449994903359,66.4424873657923,2016-04-30,2016
272,5,2016,31,2016.37204007286,18.6580614169872,0.0768701461503434,0.0754655353905585,0.0835581911630509,124.199766837898,122.139184104022,203.062831759321,2016-05-31,2016
273,6,2016,30,2016.45537340619,36.3399528398026,0.0669497502121,0.0669484869640455,0.0667233772130429,216.201672437992,216.763192994022,207.92192160891,2016-06-30,2016
274,7,2016,31,2016.53870673953,8.47495808414802,0.0572256368731811,0.0567724995442123,0.0565721053775948,42.1221374086417,41.1855627167153,63.6767590382602,2016-07-31,2016
